so,lang1
that,lang1
means,lang1
tomorrow,lang1
cruda,lang2
segura,lang2
lol,lang1
tonight,lang1
peda,lang2
eres,lang2
tan,lang2
mala,lang2
vieja,lang2
bruja,lang2
interesada,lang2
#jamming,lang1
yo,lang2
kiero,lang2
pretzels,ne
fuck,lang1
ni,lang2
ke,lang2
el,lang2
me,lang2
vaya,lang2
a,lang2
mantener,lang2
toda,lang2
la,lang2
vida,lang2
i,lang1
always,lang1
tell,lang1
my,lang1
dad,lang1
kasar,lang2
con,lang2
una,lang2
rika,lang2
and,lang1
regaña,lang2
telling,lang1
no,lang2
sea,lang2
ha,lang2
compre,lang2
un,lang2
carrito,lang2
pa,lang2
irme,lang2
mis,lang2
friends,lang1
party,lang1
why,lang1
can,lang1
just,lang1
find,lang1
rich,lang1
bitch,lang1
mantenga,lang2
y,lang2
ya,lang2
since,lang1
started,lang1
working,lang1
disfruto,lang2
regano,lang2
cuzs,lang1
was,lang1
to,lang1
brother,lang1
lo,lang2
andaba,lang2
molestando,lang2
if,lang1
u,lang1
still,lang1
love,lang1
her,lang1
you,lang1
should,lang1
give,lang1
otro,lang2
chance,lang2
tengo,lang2
hungry,lang1
mhm,unk
teachers,lang1
be,lang1
staring,lang1
at,lang1
like,lang1
im,lang1
high,lang1
they,lang1
gotta,lang1
accept,lang1
eyes,lang1
parecen,lang2
de,lang2
camaron,lang2
bien,lang2
fatass,lang1
@,other
lmao,lang1
yeah,lang1
sure,lang1
tuyo,lang2
parece,lang2
te,lang2
iso,lang2
lil,lang1
kid,lang1
do,lang1
n't,lang1
lie,lang1
los,lang2
mios,lang2
bolian,lang2
febrezee,mixed
xd,other
levantaste,lang2
tus,lang2
bombas,lang2
'm,lang1
an,lang1
asshole,lang1
gabby,ne
ok,lang1
actually,lang1
bajaba,lang2
porke,lang2
echabas,lang2
unos,lang2
pedos,lang2
apestosos,lang2
aguantaba,lang2
fumigabas,lang2
todo,lang2
room,lang1
know,lang1
is,lang1
true,lang1
esta,lang2
dando,lang2
atake,lang2
nobody,lang1
make,lang1
laugh,lang1
:victory_hand:,other
:face_with_tears_of_joy:,other
:grinning_squinting_face:,other
asta,lang2
mongolita,lang2
ratchet,lang1
as,lang1
n,ne
al,lang2
revvez,lang2
saying,lang1
gave,lang1
",",other
fav,lang1
gum,lang1
le,lang2
planche,lang2
sus,lang2
pelos,lang2
elote,lang2
jk,lang1
oomf,lang1
the,lang1
candy,lang1
nawh,unk
mejor,lang2
como,lang2
gonna,lang1
buy,lang1
summ,lang1
spur,lang1
gumn,lang1
for,lang1
but,lang1
then,lang1
remembered,lang1
shes,lang1
on,lang1
diet,lang1
today,lang1
swear,lang1
not,lang1
doing,lang1
anything,lang1
nothing,lang1
all,lang1
fui,lang1
manager,lang1
got,lang1
